Details,No.,Time,Type,Location,Location Desc.,Area
Details,0273,6:00 PM,Traffic Hazard,I5 N I8 W Con / I8 W,NB TO WB,South FSP
Details,0692,5:57 PM,Traffic Hazard,I5 N I8 W Con / I8 W,NB TO WB,San Diego
Details,0270,5:55 PM,Traffic Hazard,I15 N / Valley No,I15 N VALLEY NO,North FSP
Details,0269,5:54 PM,Traffic Hazard,I15 S / Murrieta Hot Springs Rd Ofr,,Temecula FSP
Details,0680,5:45 PM,Traffic Hazard,Sr52 W / I15 Eo,SR52 W I15 EO,San Diego
Details,0266,5:33 PM,Traffic Hazard,I15 N / Carmel Mountain,,North FSP
Details,0641,5:16 PM,Trfc Collision-Unkn Inj,I5 N / Cannon,I5 N CANNON,Oceanside
Details,0627,5:04 PM,Traffic Hazard,I15 N / Deer Springs So (mountain Meadow),92-23C,Oceanside
Details,0626,5:02 PM,Trfc Collision-Unkn Inj,E Vista Way / Gopher Canyon Rd,,Oceanside
Details,0620,4:55 PM,SIG Alert,Sr94 / Lucky Six Truck Trl,,El Cajon
Details,0574,4:14 PM,Trfc Collision-1141 Enrt,Sr94 / Lucky Six Truck Trl,JEO NEAR ROMO,El Cajon
Details,0011,12:16 AM,Road/Weather Conditions,Media Log,NEWSWORTHY INCIDENTS,BC
